"district","year","week","total_suspected"
"Kalangala District",2022,40,415
"Kalangala District",2022,41,377
"Kalangala District",2022,42,465
"Kalangala District",2022,43,484
"Kalangala District",2022,44,411
"Kalangala District",2022,45,392
"Kalangala District",2022,46,431
"Kalangala District",2022,48,630
"Kalangala District",2022,49,527
"Kalangala District",2022,5,401
"Kalangala District",2022,50,464
"Kalangala District",2022,52,441
"Kalangala District",2022,6,335
"Kalangala District",2022,9,580
"Kalangala District",2023,1,530
"Amuria District",2022,1,4682
"Amuria District",2022,10,3179
"Amuria District",2022,11,3323
"Amuria District",2022,13,2363
"Amuria District",2022,14,2328
"Amuria District",2022,15,2557
"Amuria District",2022,16,2854
"Amuria District",2022,17,3323
"Amuria District",2022,18,3709
"Amuria District",2022,19,3953
"Amuria District",2022,2,2933
"Amuria District",2022,20,1779
"Amuria District",2022,21,1603
"Amuria District",2022,22,1028
"Amuria District",2022,23,2324
"Amuria District",2022,24,4596
"Amuria District",2022,25,4094
"Amuria District",2022,26,3024
"Amuria District",2022,28,4583
"Amuria District",2022,29,3894
"Amuria District",2022,3,3061
"Amuria District",2022,30,3886
"Amuria District",2022,31,3457
"Amuria District",2022,32,4085
"Amuria District",2022,33,3131
"Amuria District",2022,34,3091
"Amuria District",2022,35,2728
"Amuria District",2022,36,3607
"Amuria District",2022,37,4783
"Amuria District",2022,38,5895
"Amuria District",2022,39,5238
"Amuria District",2022,4,3866
"Amuria District",2022,40,5196
"Amuria District",2022,41,3737
"Amuria District",2022,42,3428
"Amuria District",2022,43,3792
"Amuria District",2022,44,2697
"Amuria District",2022,48,3972
"Amuria District",2022,49,5209
"Amuria District",2022,5,3840
"Amuria District",2022,50,4194
"Amuria District",2022,52,2440
"Amuria District",2022,6,4714
"Amuria District",2022,7,4288
"Amuria District",2022,8,4040
"Amuria District",2022,9,3038
"Amuria District",2023,1,2605
"Bunyangabu District",2022,1,813
"Bunyangabu District",2022,10,1454
"Bunyangabu District",2022,11,1334
"Bunyangabu District",2022,12,955
"Bunyangabu District",2022,13,606
"Bunyangabu District",2022,14,652
"Bunyangabu District",2022,15,439
"Bunyangabu District",2022,16,842
"Bunyangabu District",2022,17,1191
"Bunyangabu District",2022,18,1370
"Bunyangabu District",2022,19,1542
"Bunyangabu District",2022,2,550
"Bunyangabu District",2022,20,384
"Bunyangabu District",2022,21,1007
"Bunyangabu District",2022,22,1071
"Bunyangabu District",2022,23,1626
"Bunyangabu District",2022,24,2358
"Bunyangabu District",2022,25,1307
"Bunyangabu District",2022,26,1507
"Bunyangabu District",2022,27,1423
"Bunyangabu District",2022,28,1141
"Bunyangabu District",2022,29,1618
"Bunyangabu District",2022,3,344
"Bunyangabu District",2022,30,1340
"Bunyangabu District",2022,31,1048
"Bunyangabu District",2022,32,644
"Bunyangabu District",2022,33,923
"Bunyangabu District",2022,34,923
"Bunyangabu District",2022,35,777
"Bunyangabu District",2022,36,673
"Bunyangabu District",2022,37,812
"Bunyangabu District",2022,38,708
"Bunyangabu District",2022,39,1164
"Bunyangabu District",2022,4,1550
